"timeFrom","timeTo","timeSpan","propSharedCellsNotNA","timeFromPropNotNA","timeToPropNotNA","mean","sum","quantile_quant0p05","quantile_quant0p95","prevalence","centroidVelocity","centroidLong","centroidLat","nsCentroidVelocity","nsCentroidLat","ewCentroidVelocity","ewCentroidLong","nsQuantVelocity_quant0p05","nsQuantLat_quant0p05","nsQuantVelocity_quant0p95","nsQuantLat_quant0p95"
-21000,-20970,30,0.534175084175084,0.534175084175084,0.534175084175084,0.409650739832176,2599.64359497499,0,1,0.446895682319571,20.7740738282419,530592.214620074,-43794.2456543817,12.128613592433,-43794.2456543817,16.8659086842866,530592.214620074,3.01762262055029,-1208496.65431319,14.0528967282114,1160881.41320647
-20970,-20940,30,0.534175084175084,0.534175084175084,0.534175084175084,0.409799684860228,2600.58880012301,0,1,0.447053261897258,20.5523712963795,531092.494310867,-43433.8566974273,12.0129652318132,-43433.8566974273,16.6759896930734,531092.494310867,2.99858184888338,-1208406.69685772,14.1496677902139,1161305.90324017
-20940,-20910,30,0.534175084175084,0.534175084175084,0.534175084175084,0.409948729503033,2601.53463742625,0,1,0.447210841474945,20.2653592453734,531583.693240068,-43075.6110850871,11.9415204113386,-43075.6110850871,16.3732976400487,531583.693240068,3.00058730683134,-1208316.67923852,13.4692340631193,1161709.98026207
-20910,-20880,30,0.534175084175084,0.534175084175084,0.534175084175084,0.410098014229508,2602.48199830046,0,1,0.447368421052632,20.6962208659659,532087.214865283,-42712.3395953443,12.1090496580946,-42712.3395953443,16.7840541738473,532087.214865283,3.00542070439551,-1208226.51661739,14.1679276799705,1162135.01809247
-20880,-20850,30,0.534175084175084,0.534175084175084,0.534175084175084,0.410327020347323,2603.93527112411,0,1,0.447683580208005,40.313486909458,533097.049873432,-42046.8377092192,22.1833962041686,-42046.8377092192,33.6611669382973,533097.049873432,4.61038275089425,-1208088.20513486,44.7095870692205,1163476.30570454
-20850,-20820,30,0.534175084175084,0.534175084175084,0.534175084175084,0.410483170336657,2604.92619895643,0,1,0.447841159785692,22.348636999226,533643.285842612,-41658.0682606696,12.9589816183216,-41658.0682606696,18.2078656393103,533643.285842612,3.1436331232156,-1207993.89614116,16.6537052496957,1163975.91686203
-20820,-20790,30,0.534175084175084,0.534175084175084,0.534175084175084,0.410637766556484,2605.90726656745,0,1,0.447841159785692,21.9355916661233,534179.342933164,-41276.3668600477,12.7233800207301,-41276.3668600477,17.8685696850919,534179.342933164,3.11235242116575,-1207900.52556853,15.9900214809071,1164455.61750646
-20790,-20760,30,0.534175084175084,0.534175084175084,0.534175084175084,0.410792362821072,2606.88833446252,0,1,0.447841159785692,21.9190860224913,534714.996624537,-40894.9526209666,12.7138079693679,-40894.9526209666,17.855123045765,534714.996624537,3.11235332230572,-1207807.15496886,15.935660227846,1164933.6873133
-20760,-20730,30,0.534175084175084,0.534175084175084,0.534175084175084,0.410948628358631,2607.87999556387,0,1,0.447998739363379,22.1799652997307,535257.203564742,-40509.2488374465,12.8567927840045,-40509.2488374465,18.073564673479,535257.203564742,3.14595935600034,-1207712.77618818,15.8473616748117,1165409.10816354
-20730,-20700,30,0.534175084175084,0.534175084175084,0.534175084175084,0.411103359965844,2608.86192234325,0,1,0.447998739363379,21.9084156103315,535792.610946096,-40128.0405701028,12.7069422447884,-40128.0405701028,17.8469127118005,535792.610946096,3.11507805871467,-1207619.32384642,15.8250275116181,1165883.85898889
-20700,-20670,30,0.534175084175084,0.534175084175084,0.534175084175084,0.411258091581827,2609.84384917827,0,1,0.447998739363379,21.8919133231708,536327.614936216,-39747.1193018462,12.6973756085528,-39747.1193018462,17.8334663373263,536327.614936216,3.11507823525462,-1207525.87149936,15.7714669850965,1166357.00299844
-20670,-20640,30,0.534175084175084,0.534175084175084,0.534175084175084,0.411414445479179,2610.83607101087,0,1,0.448156318941065,22.2462125683058,536867.875319537,-39355.2988142705,13.0606829191905,-39355.2988142705,18.0086794440518,536867.875319537,3.14773822755087,-1207431.43935253,16.3465180355124,1166847.39853951
