"timeFrom","timeTo","timeSpan","propSharedCellsNotNA","timeFromPropNotNA","timeToPropNotNA","mean","sum","quantile_quant0p05","quantile_quant0p95","prevalence","centroidVelocity","centroidLong","centroidLat","nsCentroidVelocity","nsCentroidLat","ewCentroidVelocity","ewCentroidLong","nsQuantVelocity_quant0p05","nsQuantLat_quant0p05","nsQuantVelocity_quant0p95","nsQuantLat_quant0p95"
-21000,-20010,990,0.533838383838384,0.533838383838384,0.533838383838384,0.413350222451439,2621.46711078703,0,1,0.450331125827815,16.2155249991045,542680.422052313,-34448.4054320974,9.49603983332174,-34448.4054320974,13.144142363827,542680.422052313,2.2855533027203,-1206419.65763591,17.8960468758949,1178275.27246059
-20010,-19020,990,0.533670033670034,0.533670033670034,0.533670033670034,0.43081850439777,2731.38931788186,0,1,0.472870662460568,61.5337164955535,583058.80518265,11165.5739606975,46.0747266593888,11165.5739606975,40.7862455861993,583058.80518265,10.2743808546365,-1196248.02058982,126.913136296979,1303919.2773946
-19020,-18030,990,0.533501683501683,0.533501683501683,0.533501683501683,0.446786862110704,2831.73513205764,0,1,0.485168822972547,50.3617372812162,606052.074949082,55405.1678359682,44.6864584598694,55405.1678359682,23.2255250165979,606052.074949082,9.32506555976991,-1187016.20568564,167.333101600373,1469579.04797897
-18030,-17040,990,0.531986531986532,0.531986531986532,0.531986531986532,0.467243577835939,2952.97941192313,0,1,0.51123417721519,59.7518611903732,625964.551787882,107392.066961024,54.3954448716097,107392.066961024,24.7269183873225,625964.551787882,12.0105795430553,-1174021.73193802,121.879771728318,1580208.41055294
-17040,-16050,990,0.52979797979798,0.52979797979798,0.52979797979798,0.492038598486143,3096.89093887178,0,1,0.53829043533524,65.8584154725698,655408.270900637,163763.069766192,57.5185164869798,163763.069766192,32.0772684263272,655408.270900637,13.9867567684941,-1160781.87145874,96.5524371842021,1672570.16693405
-16050,-15060,990,0.522138047138047,0.522138047138047,0.522138047138047,0.515331088914304,3196.59874453543,0,1,0.558117040141867,63.6470719250137,617005.262820677,205420.145686839,63.3509754403935,205420.145686839,6.1321835734531,617005.262820677,15.6699852763254,-1145233.87743176,55.5844676952,1690844.65135877
-15060,-14070,990,0.517929292929293,0.517929292929293,0.517929292929293,0.559801448959002,3444.45831544474,0,1,0.611084024053307,89.3755987257121,603664.372254262,282567.778567033,89.3419208009053,282567.778567033,2.4533314460691,603664.372254262,21.1167535567172,-1126114.03365085,59.1069174821594,1718191.36668239
-14070,-13080,990,0.514478114478114,0.514478114478114,0.514478114478114,0.603016553098685,3685.63717253916,0,1,0.643488219895288,89.673250106405,586984.06100186,363589.355195417,89.637801511676,363589.355195417,-2.52117528134117,586984.06100186,21.9350601951996,-1105162.93794647,79.0180509277958,1777673.52736607
-13080,-12090,990,0.508249158249158,0.508249158249158,0.508249158249158,0.637480963215229,3849.11005589355,0,1,0.665783371977476,70.0288498425734,558014.067169886,420063.641967168,69.8263973142259,420063.641967168,5.32109466083336,558014.067169886,16.6363125184509,-1084902.57069253,56.8978578571978,1819489.94233217
-12090,-11100,990,0.508164983164983,0.508164983164983,0.508164983164983,0.676605268405204,4084.66600536222,0,1,0.699519628954779,82.18531142195,593420.910935193,493319.138432437,73.9954509750187,493319.138432437,35.7644886518248,593420.910935193,14.9250326109622,-1070126.78840768,79.7499501079772,1898442.39293906
-11100,-10110,990,0.472390572390572,0.472390572390572,0.472390572390572,0.745794507315991,4185.39877505734,0,1,0.784746970776907,63.5348056707111,570034.814791947,549419.36874606,59.9805286677755,549419.36874606,20.9525108841203,570034.814791947,14.7169248844319,-1031006.98622661,63.5465501127485,1960689.02198344
