"timeFrom","timeTo","timeSpan","propSharedCellsNotNA","timeFromPropNotNA","timeToPropNotNA","mean","sum","quantile_quant0p05","quantile_quant0p95","prevalence","centroidVelocity","centroidLong","centroidLat","nsCentroidVelocity","nsCentroidLat","ewCentroidVelocity","ewCentroidLong","nsQuantVelocity_quant0p05","nsQuantLat_quant0p05","nsQuantVelocity_quant0p95","nsQuantLat_quant0p95"
-21000,-20010,990,0.533838383838384,0.534175084175084,0.533922558922559,0.413285056091286,2621.46711078703,0,1,0.450260129276368,16.0632021141185,542680.422052313,-34448.4054320974,9.80777639399723,-34448.4054320974,12.7213986795624,542680.422052313,2.18941955141408,-1206419.65763591,17.9954001575466,1178275.27246059
-20010,-19020,990,0.533670033670034,0.533922558922559,0.533838383838384,0.430682642365478,2731.38931788186,0,1,0.472721538946704,61.5337164955535,583058.80518265,11165.5739606975,46.0747266593888,11165.5739606975,40.7862455861993,583058.80518265,10.2743808546365,-1196248.02058982,126.913136296979,1303919.2773946
-19020,-18030,990,0.533501683501683,0.533838383838384,0.533501683501683,0.446786862110704,2831.73513205764,0,1,0.485168822972547,50.3617372812162,606052.074949082,55405.1678359682,44.6864584598694,55405.1678359682,23.2255250165979,606052.074949082,9.32506555976991,-1187016.20568564,167.333101600373,1469579.04797897
-18030,-17040,990,0.531986531986532,0.533501683501683,0.531986531986532,0.467243577835939,2952.97941192313,0,1,0.51123417721519,56.2322825388145,625964.551787882,107392.066961024,52.5120193182385,107392.066961024,20.1136129684852,625964.551787882,13.1257310582069,-1174021.73193802,111.746830882793,1580208.41055294
-17040,-16050,990,0.52979797979798,0.531986531986532,0.530218855218855,0.491929906532816,3098.66648125021,0,1,0.538180663597396,64.7030634269783,655723.791545767,164115.633370174,57.2965317264142,164115.633370174,30.059838139278,655723.791545767,13.5385963415061,-1160618.52155993,93.1297236029195,1672406.83691983
-16050,-15060,990,0.522138047138047,0.530218855218855,0.522222222222222,0.515406136777126,3197.57967256529,0,1,0.558188265635074,57.1950843275186,617191.245651967,205605.658105243,41.9091158940085,205605.658105243,-38.9217635290916,617191.245651967,15.6139556130084,-1145160.70550305,18.5379205610838,1690759.3782753
-15060,-14070,990,0.517929292929293,0.522222222222222,0.517929292929293,0.559801448959002,3444.45831544474,0,1,0.611084024053307,78.9311329740606,603664.372254262,282567.778567033,77.7395156179704,282567.778567033,-13.6635084825304,603664.372254262,19.2390624769688,-1126114.03365085,27.7090791990785,1718191.36668239
-14070,-13080,990,0.514478114478114,0.517929292929293,0.514478114478114,0.603016553098685,3685.63717253916,0,1,0.643488219895288,83.5563508770375,586984.06100186,363589.355195417,81.839976392307,363589.355195417,-16.8487992448496,586984.06100186,21.1627229337138,-1105162.93794647,60.0829905895773,1777673.52736607
-13080,-12090,990,0.508249158249158,0.514478114478114,0.508249158249158,0.637480963215229,3849.11005589355,0,1,0.665783371977476,64.1124217384097,558014.067169886,420063.641967168,57.0447341128795,420063.641967168,-29.262620032297,558014.067169886,20.4650174282228,-1084902.57069253,42.2388029960577,1819489.94233217
-12090,-11100,990,0.508164983164983,0.508249158249158,0.508417508417508,0.676269206185798,4084.66600536222,0,1,0.699172185430464,82.18531142195,593420.910935193,493319.138432437,73.9954509750187,493319.138432437,35.7644886518248,593420.910935193,14.9250326109622,-1070126.78840768,79.7499501079772,1898442.39293906
-11100,-10110,990,0.472390572390572,0.508417508417508,0.472390572390572,0.745794507315991,4185.39877505734,0,1,0.784746970776907,61.393415346236,570034.814791947,549419.36874606,56.6668993066901,549419.36874606,-23.6223193366124,570034.814791947,39.5149516980458,-1031006.98622661,62.8753828731046,1960689.02198344
-10110,-9120,990,0.472390572390572,0.472390572390572,0.472390572390572,0.794133300428123,4456.67608200263,0,1,0.822523164647185,84.1279638276063,580068.61963335,632099.442062778,83.5152255724424,632099.442062778,10.1351564054581,580068.61963335,17.5880988294335,-1013594.76838548,127.856145701223,2087266.60622765
-9120,-8130,990,0.467424242424242,0.472390572390572,0.467424242424242,0.911928544296809,5063.93920648018,0,1,0.934089681253377,209.767966201687,600878.654208364,838724.44145166,208.71212059483,838724.44145166,21.0202369444588,600878.654208364,59.4349208932179,-954754.19670119,428.729086200823,2511708.40156646
-8130,-7140,990,0.457828282828283,0.467424242424242,0.457828282828283,0.980383648705067,5332.30666530686,1,1,0.995035852178709,134.392589395513,622910.236211495,969936.316882164,132.5372479096,969936.316882164,22.2541232354857,622910.236211495,80.2364895235996,-875320.072072826,167.541740832665,2677574.7249908
-7140,-6150,990,0.455387205387205,0.457828282828283,0.455387205387205,0.996636417543178,5391.80301890859,1,1,1,32.7006822469682,628460.002359018,1001830.75144681,32.2166005703511,1001830.75144681,5.60582439143721,628460.002359018,20.8269116591641,-854701.429530254,18.842333869192,2696228.6355213
-6150,-5160,990,0.453956228956229,0.455387205387205,0.453956228956229,0.999543720507085,5390.53928469471,1,1,1,5.38892154292689,624721.546140496,1005636.86692557,3.84456108965396,1005636.86692557,-3.77621840254775,624721.546140496,-0.0880784452101451,-854788.627191012,0.0704627561679279,2696298.39364991
-5160,-4170,990,0.451178451178451,0.453956228956229,0.451178451178451,0.999986945071567,5359.9300255836,1,1,1,10.3511473826608,614735.670897344,1007938.2441976,2.3246235071037,1007938.2441976,-10.0867426698506,614735.670897344,-0.739433210774212,-855520.666069678,1.70669808377079,2697988.02475284
