SiteID,SiteName,Latitude,Longitude,DatasetID,DatasetType,AgeOldest,AgeYoungest,,
1125,Jackson Pond,37.43255,-85.72462,15081,pollen,23942,447,,
1245,Wilcox Lake,43.95,-79.43,17672,pollen,15627,91,,
1411,Kellners Lake,44.238056,-87.848056,1448,pollen,16664,101,,
1415,Kenosee Lake,49.816667,-102.3,1452,pollen,1181,25,,
1416,Marais de Keswick,44.195833,-79.512778,3454,pollen,3900,46,,
1483,Kirchner Marsh,44.77085,-93.12255,1520,pollen,13695,181,,
1485,Kirk Lake,48.233333,-121.616667,1523,pollen,10351,248,,
1510,Kotiranta Lake,46.714235,-92.587195,1548,pollen,12116,424,,
1530,Lacawac,41.382145,-75.29131,1568,pollen,720,8,,
1531,Lac Colin,46.716667,-70.3,1569,pollen,11100,0,,
1532,Lac Hamard,54.8,-67.5,1570,pollen,4114,4114,,
1533,Lac Louis,47.2875,-79.116667,1571,pollen,9310,0,,
1541,Lake 27,45.066667,-84.783333,1581,pollen,3263,100,,
1543,Lake A,53.2375,-105.725,1583,pollen,8561,1984,,
1546,Lake B,53.8,-106.079167,1586,pollen,1326,900,,
1547,Lake BN7,55.009167,-73.516667,1587,pollen,7400,1892,,
1548,Lake Carlson,44.79985,-93.15975,1588,pollen,4016,6,,
1549,Lake CH2,49.683333,-74.583333,1590,pollen,8268,0,,
1550,Lake EC1,56.283333,-75.1,1591,pollen,6161,2517,,
1551,Lake EC2,56.023333,-74.945,1592,pollen,6683,288,,
1553,Lake GB1,55.110833,-75.248889,1594,pollen,6375,168,,
1554,Lake GB2,56.1,-75.283333,1595,pollen,6333,411,,
1556,Lake LB1,57.916667,-75.616667,1598,pollen,6227,1067,,
1557,Lake LR1,58.583333,-75.25,1599,pollen,4080,4080,,
1558,Lake LR3,58.578333,-75.245,1601,pollen,3472,496,,
1559,Lake LT1,58.141667,-75.15,1603,pollen,3104,2354,,
1568,Langdale Pond,30.641667,-83.195,1614,pollen,6562,0,,
1576,Leading Tickles,49.471389,-55.473056,1622,pollen,9521,3154,,
1590,Little Bass Lake,47.286,-93.600465,1639,pollen,12315,13,,
1591,Little Lake,45.143555,-66.713325,1640,pollen,12643,0,,
1593,Little Pine Lake,45.283333,-91.483333,1643,pollen,20879,30,,
1594,LDDsite5772,44.8,-76.683056,1644,pollen,10813,10,,
1597,Lake Annie,27.20731,-81.350875,1648,pollen,19958,64,,
1598,Lake of the Clouds,48.142555,-91.11254,3483,pollen,960,0,,
1599,Lake Hope Simpson,52.45,-56.433333,1650,pollen,8492,3110,,
1605,Lofty Lake,54.725278,-112.480833,1656,pollen,683,683,,
1607,Lonesome Lake,44.14,-71.701111,1658,pollen,10529,439,,
1608,Long Lake (CA:Nunavut),62.633333,-101.233333,1659,pollen,694,694,,
1609,Long Lake,36.005556,-108.833333,1660,pollen,23588,14296,,
1613,Lost Lake,46.719435,-87.97207,1665,pollen,10036,0,,
1614,Lost Lake,47.63516,-110.48434,1666,pollen,9420,1564,,
1615,Lost P.,44.246944,-71.251389,1667,pollen,13472,20,,
1617,Lake Louise,30.725,-83.258333,3484,pollen,10641,0,,
1619,Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7),26.481111,-80.415556,1671,pollen,1166,1166,,
1646,Maplehurst Lake,43.225,-80.659722,1701,pollen,13042,30,,
1652,Martin Pond,47.173975,-94.943965,1708,pollen,606,0,,
1656,Mashapaug Pond,41.783333,-71.433333,1712,pollen,4353,0,,
1667,McLaughlan Lake,45.363333,-76.554167,1723,pollen,10108,6000,,
1684,Mermaid Bog,46.25,-63.025,1740,pollen,9195,71,,
1703,Mirror Pool,46.525833,-97.241389,1759,pollen,9000,9000,,
1705,Molas Lake,37.74759,-107.682735,1761,pollen,14816,82,,
1706,Molas Pass Bog,37.737778,-107.6975,1762,pollen,3417,65,,
1707,Monhegan Island Meadow,43.766667,-69.3,1763,pollen,9316,228,,
1710,Montezuma Well,34.6492,-111.75225,1766,pollen,12838,30,,
1712,18 [Moraine Lake],52.266667,-58.05,1769,pollen,10938,0,,
1716,Moulton Pond,44.6275,-68.639167,1773,pollen,13904,0,,
1718,Mud Creek Site 1,25.219722,-80.604722,1775,pollen,1350,412,,
1719,Mud Lake,29.29993,-81.86601,1776,pollen,8354,0,,
1725,Muscotah Marsh,39.53,-95.513333,1782,pollen,17897,70,,
1725,Muscotah Marsh,39.53,-95.513333,3495,pollen,11214,10169,,
1732,Natural Lake,34.663333,-95.386111,1789,pollen,2588,150,,
1763,Northwest River Pond,53.516667,-60.166667,1821,pollen,1530,1530,,
1768,Old Field,37.116667,-89.833333,1826,pollen,9170,3480,,
1797,Pasacaco Pond,41.516667,-71.45,1859,pollen,1252,0,,
1803,Patschke Bog,30.366667,-97.116667,3500,pollen,15817,428,,
1804,Lake Patzcuaro,19.583333,-101.583333,1866,pollen,23799,64,,
1824,Perch Lake,51.651389,-100.898889,1888,pollen,5625,86,,
1833,Pilot Mound Site,42.16,-93.9,1897,pollen,13500,337,,
1835,Pinckneyville Creek Site 20,31.048333,-91.481944,1899,pollen,18790,18790,,
1840,Pink Lake,45.469444,-75.808333,1904,pollen,11760,18,,
1842,Pixie Lake,48.596389,-124.196667,1906,pollen,9908,9518,,
1903,Portage Bog,46.673611,-64.075,1968,pollen,9862,28,,
1905,Posy Lake,37.93746,-111.696035,1970,pollen,8221,5352,,
1906,Potato Lake,34.462222,-111.345278,3560,pollen,10936,1397,,
1906,Potato Lake,34.462222,-111.345278,3561,pollen,10478,1389,,
1909,Chesapeake Bay, Parker Creek,38.547778,-76.478611,1975,pollen,1183,50,
1915,Point Escuminac,47.075,-64.8,1981,pollen,9490,0,,
1916,Chesapeake Bay, Potomac River,38.026944,-76.22,1982,pollen,3094,326,
1918,Chesapeake Bay, Patuxent River (2-P-5),38.333333,-76.309722,1984,pollen,674,175,
1936,Quarles Pond,37.995833,-79.072222,2003,pollen,12647,2172,,
1938,Lake Quexil,16.916667,-89.816667,2005,pollen,23878,9897,,
1939,Quicksand Pond,34.326389,-84.865278,2006,pollen,17410,13613,,
1954,Ramsay Lake,45.6,-76.1,2023,pollen,10938,10,,
1959,Rayburn's Dome,32.466667,-93.166667,2030,pollen,20889,12798,,
1976,Redrock Lake,40.083333,-105.541667,2049,pollen,4000,840,,
1987,Chesapeake Bay, Rhode River,38.886389,-76.394722,2061,pollen,2714,63,
2194,Rogers Lake,41.3525,-72.29915,2270,pollen,15153,79,,
2212,Rose Lake,41.916667,-77.925,2289,pollen,14432,75,,
2214,Ross Pond,43.921389,-69.410278,2292,pollen,11882,102,,
2231,Ruby Lake,45.283333,-91.458333,2309,pollen,810,10,,
2235,Rutz Lake,44.87083,-93.858975,2314,pollen,13628,5,,
2241,Sagehen Marsh,37.473889,-108.503889,3608,pollen,1350,1350,,
2257,Sandy Cove Pond,54.4,-57.716667,2337,pollen,2225,2225,,
2258,San Joaquin Marsh,33.658333,-117.858333,2338,pollen,5912,5376,,
2269,Scott Lake,27.965415,-81.94163,2349,pollen,4527,49,,
2274,Seidel,44.45,-87.515556,3620,pollen,1055,22,,
2285,LD Lake,50.140278,-67.131944,2367,pollen,7106,0,,
2290,Sewell Lake,49.84135,-99.5763,2372,pollen,12473,0,,
2295,Shaws Bog,45.016667,-64.183333,2377,pollen,8967,0,,
2298,Sheley Pond,31.080833,-81.636944,2380,pollen,819,25,,
2302,Silver Lake,44.563333,-63.642778,2384,pollen,14544,0,,
2303,Silver Lake,40.354335,-83.812515,2385,pollen,13182,25,,
2304,Silver,41.25132,-74.986015,2386,pollen,787,0,,
2492,Slough Creek Pond,44.933333,-110.35,2576,pollen,4588,1253,,
2508,Spruce Pond,41.23687,-74.1833,2593,pollen,15210,119,,
2512,Stages Pond,39.668056,-82.9375,2598,pollen,3739,64,,
2516,Saint John Island Pond,53.95,-58.916667,2603,pollen,6906,6906,,
2527,Sutherland Pond,41.391389,-74.037778,2617,pollen,18025,44,,
2530,Swan Lake,41.72106,-102.499255,2620,pollen,3901,32,,
2531,Swartswood Lake,41.072335,-74.83698,2621,pollen,1549,10,,
2534,Tamarack Creek,44.15,-91.45,2624,pollen,5060,12,,
2538,Williams Street Bog,41.9,-71.066667,2628,pollen,15938,8867,,
2539,Taupawshas Bog,41.275,-70.058333,2629,pollen,10804,619,,
2540,Taylor Creek Site 2,25.205556,-80.643889,2630,pollen,161,5,,
2541,Taylor Lake,46.100556,-123.906667,2631,pollen,4712,14,,
2549,Petit Lac Terrien,46.58,-70.62,2639,pollen,12245,100,,
2570,Lake Tulane,27.58613,-81.503395,2663,pollen,23878,20,,
2576,Tunturi Lake,55.016667,-67.5,2669,pollen,3583,3583,,
2791,Unknown Pond,45.60459,-70.633335,2886,pollen,12415,0,,
2795,Upper South Branch Pond,46.090115,-68.893285,2892,pollen,9159,0,,
2814,Vestaburg Bog,43.416667,-84.883333,3831,pollen,20200,0,,
2846,Water Conservation Area 2A, Site 2 (Site F1),26.359722,-80.370556,2943,pollen,37,37,
2847,Water Conservation Area 2A, Site 3 (Site U3),26.2875,-80.411389,2944,pollen,1668,16,
2848,Water Conservation Area 3A, Site 4 (CA315 (AAS)),25.974,-80.6688,2945,pollen,3,3,
2849,Weber Lake,47.471667,-91.66,3837,pollen,15000,29,,
2850,Wells Mastodon Site,41.083333,-86.433333,2947,pollen,11891,1833,,
2853,Whiskey Lake,35.981944,-108.810833,2950,pollen,20192,20192,,
2936,Woodcliff Lake,41.02,-74.03,3034,pollen,96,2,,
2948,Yellow Dog Pond,46.754925,-87.94245,3047,pollen,10251,164,,
2951,Zuehl Farm Site,43.03,-93.87,3050,pollen,13000,1054,,
2954,Pretty Lake,41.583056,-85.25,3563,pollen,13930,0,,
2955,Head Lake,37.71109,-105.740635,3054,pollen,4461,58,,
2956,Canyon Lake,46.833495,-87.92128,15682,pollen,11767,139,,
2959,Basswood Road Lake/Splan Pond,45.25397,-67.33173,3058,pollen,13911,0,,
5192,Little Salt Spring,27.075,-82.233333,17285,pollen,1134,1134,,
6505,Northeast Shark River Slough,25.74642,-80.58386,10967,pollen,3190,22,,
6510,Hemlock Hollow,42.5375,-72.178,10972,pollen,11068,33,,
6519,Little Dyke Lake,45.3855,-63.55975,10981,pollen,13402,11403,,
7534,Deans Lake,44.77528,-93.44692,12007,pollen,862,39,,
7535,Lake Emily,44.30865,-93.92,12008,pollen,235,45,,
7543,Albert Lea Lake,43.65255,-93.284,15248,pollen,484,69,,
8551,Sharkey Lake,44.5924,-93.4132,13029,pollen,12034,61,,
8552,Kimble Pond,44.21895,-93.84015,13032,pollen,12254,1,,
8562,Hoya San Nicolás,20.3882,-101.256,13053,pollen,8714,650,,
8563,Hoya Rincon de Parangueo,20.43105,-101.249,13055,pollen,9411,325,,
8585,Horseshoe Lake,38.701798,-90.095027,21792,pollen,1825,19,,
8586,Glimmerglass Lake,46.21517,-89.32082,13097,pollen,11678,3757,,
9708,Linsley Pond,41.317115,-72.784335,14370,pollen,817,9,,
9814,Alpine Pond,37.63632,-112.82446,14517,pollen,2687,1641,,
9830,Lowder Creek Bog,37.67214,-112.792245,14549,pollen,8572,1099,,
9860,Norwood,44.709298,-93.926793,19316,pollen,15231,12483,,
9878,San Luis Lake,37.67773,-105.724665,14650,pollen,410,410,,
9944,South Bog,44.717555,-67.20294,14797,pollen,3200,26,,
9991,Prien Lake,30.19221,-93.27942,14928,pollen,4780,61,,
10002,Lake Arthur,30.05034,-92.7095,14953,pollen,3201,17,,
10002,Lake Arthur,30.05034,-92.7095,14955,pollen,8969,291,,
10017,Lake Louise,49.03265,-97.22993,14991,pollen,1364,8,,
10036,Lily Lake,47.911995,-89.0908,15035,pollen,10666,997,,
10074,Jones Lake,49.450245,-99.289145,15138,pollen,11212,10,,
10075,Mallard Pond,51.287795,-101.32475,15140,pollen,8267,60,,
10076,Makepeace Cedar Swamp,41.93619,-70.75736,15148,pollen,9824,4850,,
